opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_60/xlog/xlog_wafer_60.zarr ...
loading slab info with wafer_short_prefix w60_ and 10 number_of_slabs_per_group ...
found 771 region slabs with 54 max mfovs and 19 average mfovs

render project: w60_serial_000_to_009 (10 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=39, magc_id=362, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s039_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=39, magc_id=362, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s039_r01')
render project: w60_serial_040_to_049 (20 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=40, magc_id=84, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s040_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=40, magc_id=84, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s040_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=41, magc_id=100, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s041_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=41, magc_id=100, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s041_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=42, magc_id=318, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s042_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=42, magc_id=318, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s042_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=43, magc_id=164, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s043_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=43, magc_id=164, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s043_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=44, magc_id=317, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s044_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=44, magc_id=317, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s044_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=45, magc_id=258, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s045_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=45, magc_id=258, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s045_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=46, magc_id=259, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s046_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=46, magc_id=259, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s046_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=47, magc_id=132, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s047_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=47, magc_id=132, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s047_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=48, magc_id=131, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s048_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=48, magc_id=131, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s048_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=49, magc_id=115, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s049_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=49, magc_id=115, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s049_r01')
render project: w60_serial_050_to_059 (20 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=50, magc_id=312, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s050_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=50, magc_id=312, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s050_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=51, magc_id=303, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s051_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=51, magc_id=303, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s051_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=52, magc_id=89, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s052_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=52, magc_id=89, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s052_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=53, magc_id=90, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s053_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=53, magc_id=90, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s053_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=54, magc_id=185, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s054_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=54, magc_id=185, region=1, first_mfov=9, last_mfov=13, stack_name='w60_s054_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=55, magc_id=190, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s055_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=55, magc_id=190, region=1, first_mfov=10, last_mfov=14, stack_name='w60_s055_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=56, magc_id=394, region=0, first_mfov=0, last_mfov=8, stack_name='w60_s056_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=56, magc_id=394, region=1, first_mfov=9, last_mfov=12, stack_name='w60_s056_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=57, magc_id=189, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s057_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=57, magc_id=189, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s057_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=58, magc_id=187, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s058_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=58, magc_id=187, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s058_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=59, magc_id=375, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s059_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=59, magc_id=375, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s059_r01')
render project: w60_serial_060_to_069 (30 slab regions):
  SlabInfo(wafer_short_prefix='w60_', serial_id=60, magc_id=382, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s060_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=60, magc_id=382, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s060_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=60, magc_id=382, region=2, first_mfov=14, last_mfov=16, stack_name='w60_s060_r02')
  SlabInfo(wafer_short_prefix='w60_', serial_id=61, magc_id=274, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s061_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=61, magc_id=274, region=1, first_mfov=10, last_mfov=14, stack_name='w60_s061_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=61, magc_id=274, region=2, first_mfov=15, last_mfov=17, stack_name='w60_s061_r02')
  SlabInfo(wafer_short_prefix='w60_', serial_id=62, magc_id=273, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s062_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=62, magc_id=273, region=1, first_mfov=10, last_mfov=14, stack_name='w60_s062_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=62, magc_id=273, region=2, first_mfov=15, last_mfov=17, stack_name='w60_s062_r02')
  SlabInfo(wafer_short_prefix='w60_', serial_id=63, magc_id=59, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s063_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=63, magc_id=59, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s063_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=63, magc_id=59, region=2, first_mfov=14, last_mfov=15, stack_name='w60_s063_r02')
  SlabInfo(wafer_short_prefix='w60_', serial_id=64, magc_id=398, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s064_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=64, magc_id=398, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s064_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=64, magc_id=398, region=2, first_mfov=14, last_mfov=15, stack_name='w60_s064_r02')
  SlabInfo(wafer_short_prefix='w60_', serial_id=65, magc_id=247, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s065_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=65, magc_id=247, region=1, first_mfov=10, last_mfov=14, stack_name='w60_s065_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=65, magc_id=247, region=2, first_mfov=15, last_mfov=17, stack_name='w60_s065_r02')
  SlabInfo(wafer_short_prefix='w60_', serial_id=66, magc_id=246, region=0, first_mfov=0, last_mfov=9, stack_name='w60_s066_r00')
  SlabInfo(wafer_short_prefix='w60_', serial_id=66, magc_id=246, region=1, first_mfov=10, last_mfov=13, stack_name='w60_s066_r01')
  SlabInfo(wafer_short_prefix='w60_', serial_id=66, magc_id=246, region=2, first_mfov=14, last_mfov=16, stack_name='w60_s066_r02')
