opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_61/xlog/xlog_wafer_61.zarr ...
loading slab info with wafer_short_prefix w61_ and 10 number_of_slabs_per_group ...
found 14 magc ids without regions: [40, 41, 42, 86, 87, 103, 109, 152, 153, 197, 227, 235, 236, 308], this occurs when the block is sectioned before/after the ROI starts/ends,
found 554 region slabs with 53 max mfovs and 20 average mfovs

  SlabInfo(wafer_short_prefix='w61_', serial_id=52, magc_id=128, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s052_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=53, magc_id=59, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s053_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=53, magc_id=59, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s053_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=54, magc_id=255, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s054_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=54, magc_id=255, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s054_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=55, magc_id=268, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s055_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=55, magc_id=268, region=1, first_mfov=32, last_mfov=44, stack_name='w61_s055_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=56, magc_id=188, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s056_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=56, magc_id=188, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s056_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=57, magc_id=189, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s057_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=57, magc_id=189, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s057_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=58, magc_id=299, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s058_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=58, magc_id=299, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s058_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=59, magc_id=354, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s059_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=59, magc_id=354, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s059_r01')
render project: w61_serial_060_to_069 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=60, magc_id=358, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s060_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=60, magc_id=358, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s060_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=61, magc_id=344, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s061_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=61, magc_id=344, region=1, first_mfov=30, last_mfov=42, stack_name='w61_s061_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=62, magc_id=323, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s062_r00')
